Word,Count
MOTORCYCLES,1
DONT,19
FLY,1
sniggered,24
wished,70
talking,416
shouldnt,82
matter,221
cartoon,5
dangerous,157
ideas,32
sunny,14
Saturday,56
crowded,53
families,51
bought,60
chocolate,46
ice,37
creams,8
entrance,254
van,1
hurry,77
cheap,5
bad,212
either,245
licking,7
gorilla,3
scratching,30
remarkably,10
starting,138
bored,34
animals,24
fall,95
hobby,3
hitting,41
ate,27
restaurant,1
knickerbocker,1
glory,17
cream,14
finish,70
felt,887
afterward,31
lunch,77
reptile,3
cool,73
windows,179
.Behind,36
glass,215
sorts,33
lizards,2
snakes,43
crawling,8
slithering,15
bits,41
wood,69
stone,308
poisonous,15
cobras,1
mancrushing,1
pythons,1
largest,22
snake,187
wrapped,50
body,267
Vernons,69
crushed,8
against,518
glistening,13
coils,6
.Make,12
whined,1
tapped,48
budge,10
.Do,125
ordered,29
smartly,6
knuckles,25
snoozed,1
moaned,38
shuffled,30
tank,22
intently,30
boredom,2
itself,128
company,60
drumming,4
worse,150
visitor,9
hammering,21
visit,109
beady,10
.Slowly,34
raised,415
level,61
winked,19
ceiling,211
plainly,32
hear,584
annoying,12
vigorously,17
.Where,150
anyway,167
jabbed,15
.Boa,1
Constrictor,1
Brazil,6
?The,211
boa,6
constrictor,5
This,33
specimen,3
bred,2
youve,333
deafening,24
shout,59
.DUDLEY,5
!MR,1
!COME,2
AND,49
LOOK,1
AT,17
THIS,9
SNAKE,2
!YOU,4
WONT,5
BELIEVE,3
WHAT,19
ITS,2
DOING,3
waddling,4
.Out,34
ribs,39
.Caught,4
concrete,2
leaning,65
leapt,139
howls,5
constrictors,1
vanished,195
uncoiling,3
rapidly,42
throughout,17
screamed,115
running,199
exits,4
slid,140
swiftly,32
sworn,16
hissing,33
.Thanksss,1
amigo,1
keeper,4
shock,125
kept,336
cup,114
strong,76
apologized,3
gibber,1
snap,26
playfully,2
heels,35
bitten,17
swearing,8
squeeze,13
death,186
worst,88
calming,5
?Uncle,9
waited,118
safely,49
speak,246
managed,205
Go,10
stay,201
meals,9
collapsed,37
run,188
brandy,12
wishing,42
.Until,4
risk,43
sneaking,27
food,118
miserable,40
.Sometimes,15
strained,30
memory,168
during,154
vision,45
blinding,24
flash,62
burning,82
pain,227
imagine,69
forbidden,26
younger,47
dreamed,34
unknown,30
relation,4
sometimes,75
strangers,6
.Very,126
hat,197
shopping,21
rushed,34
shop,111
buying,19
wildlooking,3
waved,98
merrily,14
bus,28
coat,39
actually,140
shaken,29
weirdest,2
vanish,27
closer,146
.Everybody,26
nobody,186
disagree,7
.3,8
LETTERS,1
FROM,11
NO,20
ONE,5
escape,81
Brazilian,1
earned,16
longestever,1
punishment,25
.By,74
summer,146
holidays,79
crossed,103
crutches,1
glad,106
escaping,13
visited,37
Dennis,17
Malcolm,3
Gordon,2
biggest,16
stupidest,3
leader,11
sport,11
Hunting,1
wandering,25
ray,8
hope,225
September,26
secondary,1
accepted,17
private,56
Smeltings,5
Stonewall,4
High,39
local,4
public,31
toilet,52
.Want,20
practice,116
thanks,80
toilets,9
sick,76
ran,234
July,15
uniform,11
leaving,212
tripping,11
cake,33
tasted,10
paraded,1
brandnew,12
.Smeltings,1
maroon,17
tailcoats,1
knickerbockers,3
flat,86
straw,10
hats,47
boaters,1
carried,87
sticks,7
each,534
teachers,151
training,44
gruffly,28
proudest,1
burst,211
tears,168
Ickle,4
Dudleykins,1
handsome,60
grownup,2
cracked,54
laugh,164
.k,8
k,27
There,87
smell,83
breakfast,135
metal,39
tub,5
sink,46
dirty,57
rags,12
swimming,27
water,259
?he,425
tightened,15
.Your,100
bowl,49
dyeing,1
.Itll,32
doubted,23
argue,31
elephant,5
skin,103
wrinkled,12
noses,19
banged,21
Smelting,7
stick,57
click,14
mail,28
slot,4
flop,4
letters,90
doormat,6
.Get,88
.Poke,1
dodged,19
.Three,48
postcard,3
vacationing,1
Isle,1
Wight,1
envelope,52
bill,3
twanging,2
elastic,1
band,11
.Who,117
?He,274
friends,210
relatives,18
belong,25
library,112
rude,36
notes,65
addressed,36
mistake,74
H,8
Cupboard,1
Stairs,1
4,7
Little,33
Whinging,17
Surrey,4
heavy,139
yellowish,16
parchment,255
address,18
ink,82
stamp,8
.Turning,9
trembling,103
wax,7
seal,6
bearing,45
lion,12
eagle,20
badger,10
surrounding,57
.Hurry,14
!shouted,96
doing,509
checking,66
bombs,2
joke,74
handed,101
yellow,67
ripped,64
snorted,29
disgust,23
flipped,12
.Marges,2
ill,86
informed,30
.Ate,2
whelk,1
.Dad,20
unfolding,4
mine,74
snatch,9
.Whod,6
writing,89
?sneered,7
shaking,268
glancing,68
faster,40
.Within,15
grayish,11
white,252
porridge,17
.PPPetunia,1
grab,34
reach,88
line,114
faint,51
clutched,59
choking,13
.Vernon,7
!Oh,41
goodness,26
!They,66
seeming,3
ignored,65
tap,25
croaked,43
stuffing,27
WANT,6
MY,9
LETTER,1
.Let,85
!demanded,2
.OUT,5
!roared,51
scruffs,1
necks,19
slamming,34
promptly,24
furious,82
fight,135
listen,115
keyhole,15
won,101
dangling,40
ear,133
stomach,144
crack,72
quivering,38
possibly,60
sleeps,5
?You,167
?Watching,1
following,127
wildly,60
?Should,5
write,68
